,sql_id,nl_query,sql,GT_sql,zhengn,record_id_y,zhengn_code
785,1043,What is the count of the songs that last approximately 4 minutes?,select count ( * ) from song where song_name = 4,"SELECT count(*) FROM files WHERE duration LIKE ""4:%""",zhengning,46de713b-648e-4dd8-83fb-ddbc65c592b3,"CL1, BF4, P1"
787,1044,What is the average rating of songs produced by female artists?,select avg ( T2.rating ) from artist as T1 join song as T2 on T1.artist_name = T2.artist_name where T1.gender = 'f',"SELECT avg(T2.rating) FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name WHERE T1.gender  =  ""Female""",zhengning,3a512031-6221-4729-88b8-94e36d08728a,D1c
789,1045,"How many songs, on average, are sung by a female artist?","select avg () from artist as T1 join song as T2 on T1.artist_name = T2.artist_name where T1.gender = ""f""","SELECT avg(T2.rating) FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name WHERE T1.gender  =  ""Female""",zhengning,63909ce1-3ac6-4b60-8ebd-2352252be3db,"D1c, BL1"
791,1046,What is the country of origin of the artist who is female and produced a song in Bangla?,"select T1.country from artist as T1 join song as T2 on T1.artist_name = T2.artist_name where T1.gender = ""female"" and T2.genre_is = ""Bangla""","SELECT T1.country FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name WHERE T1.gender  =  ""Female"" AND T2.languages  =  ""bangla""",zhengning,58662afa-290e-418e-bd6d-f1bdaf1807c1,"D1a, BF4"
793,1047,What countries are the female artists who sung in the language Bangla from?,"select T1.country from artist as T1 join song as T2 on T1.artist_name = T2.artist_name where T2.languages = ""Bangla"" and T1.gender = 1","SELECT T1.country FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name WHERE T1.gender  =  ""Female"" AND T2.languages  =  ""bangla""",zhengning,a9307c28-73c3-43db-9066-be430f8f56b6,D1
795,1048,What is the average duration of songs that have mp3 format and resolution below 800?,select avg ( T1.duration ) from files as T1 join song as T2 on T1.f_id = T2.f_id where T1.formats = 800 and T2.resolution < 1,"SELECT avg(T1.duration) FROM files AS T1 JOIN song AS T2 ON T1.f_id  =  T2.f_id WHERE T1.formats  =  ""mp3"" AND T2.resolution   <  800",zhengning,aaab21c9-37ad-4f1c-b042-3ee1cc00b284,D1
797,1049,What is the average song duration for the songs that are in mp3 format and whose resolution below 800?,select avg ( T1.duration ) from files as T1 join song as T2 on T1.f_id = T2.f_id where T1.formats = 800 and T2.resolution < 1,"SELECT avg(T1.duration) FROM files AS T1 JOIN song AS T2 ON T1.f_id  =  T2.f_id WHERE T1.formats  =  ""mp3"" AND T2.resolution   <  800",zhengning,96bd181e-14f3-442a-b0d2-70344b9e1c85,D1
799,1051,How many artists are male and how many are female?,"select count ( * ) , gender from artist where gender = """" group by gender","SELECT count(*) ,  gender FROM artist GROUP BY gender",zhengning,798e86b9-ae82-470e-aa63-9b1cfaf16f31,F3
803,1054,"For each file format, return the number of artists who released songs in that format.","select formats , count ( artist_name ) from files group by formats","SELECT count(*) ,  formats FROM files GROUP BY formats",zhengning,b5cd0de9-0974-4544-931b-b631108aa9c7,BL1
805,1055,How many songs were released for each format?,"select T1.formats , count ( * ) from files as T1 join song as T2 on T1.f_id = T2.f_id group by T2.genre_is","SELECT count(*) ,  formats FROM files GROUP BY formats",zhengning,30a087eb-d196-48cc-a3bf-41ec4efdec77,"BN1, E1"
807,1056,"List the names of all genres in alphabetical oder, together with its ratings.","select T1.g_name , T1.rating from genre as T1 join song as T2 on T1.g_name = T2.genre_is order by T2.rating","SELECT g_name ,  rating FROM genre ORDER BY g_name",zhengning,fa3bf04d-c506-453d-9519-a931995a3bb4,"BK1, E1"
809,1057,"What are the names of all genres in alphabetical order, combined with its ratings?","select T1.g_name , T1.rating from genre as T1 join song as T2 on T1.g_name = T2.genre_is order by T2.rating","SELECT g_name ,  rating FROM genre ORDER BY g_name",zhengning,9f75366e-810c-43ce-b679-d378dbbe35ca,"BK1, E1"
811,1059,What are the names of all male British artists?,select artist_name from artist where gender = 'm',"SELECT artist_name FROM artist WHERE country  =  ""UK"" AND gender  =  ""Male""",zhengning,c1e3a633-31f3-40fb-b98c-3c5a60c6f11f,F4
813,1060,Find the names of songs whose genre is modern or language is English.,"select song_name from song where genre_is = ""modern"" or languages = ""English""","SELECT song_name FROM song WHERE genre_is  =  ""modern"" OR languages  =  ""english""",zhengning,3e567976-6d39-4c99-a80c-adf1d8c67423,D1a
815,1061,What are the names of the songs that are modern or sung in English?,"select song_name from song where languages = ""modern"" or genre_is = ""English""","SELECT song_name FROM song WHERE genre_is  =  ""modern"" OR languages  =  ""english""",zhengning,795ed428-a401-4eef-83c5-77b3668423de,D1a
817,1062,What are the average rating and resolution of songs that are in Bangla?,"select avg ( rating ) , avg ( resolution ) from song where genre_is = ""Bangla""","SELECT avg(rating) ,  avg(resolution) FROM song WHERE languages  =  ""bangla""",zhengning,8f91970f-be5a-4bf3-8062-5afba6e67f47,"D1a, BF4"
819,1063,What is the average rating and resolution of all bangla songs?,"select avg ( rating ) , avg ( resolution ) from song where genre_is = ""bangla""","SELECT avg(rating) ,  avg(resolution) FROM song WHERE languages  =  ""bangla""",zhengning,5fff03ae-83a1-4669-83fd-487e43154ee0,BF4
